"","Genus","Species","Antibiotic","Equiv","Result","Phenotype","Data"
"7065","Escherichia","coli","AMP","=","4","S","PNUSAE012982"
"7087","Escherichia","coli","AMP","=","2","S","SAMN07795430"
"7088","Escherichia","coli","AMP","=","2","S","PNUSAE013714"
"7103","Escherichia","coli","AMP","=","2","S","PNUSAE012090"
"7104","Escherichia","coli","AMP","=","2","S","PNUSAE007348"
"7126","Escherichia","coli","AMP","=","2","S","PNUSAE012068"
"7133","Escherichia","coli","AMP","=","4","S","PNUSAE012524"
"7147","Escherichia","coli","AMP","=","2","S","PNUSAE012285"
"7193","Escherichia","coli","AMP","=","2","S","PNUSAE012976"
"7194","Escherichia","coli","AMP","=","2","S","PNUSAE006605"
"7197","Escherichia","coli","AMP","=","2","S","PNUSAE013242"
"7214","Escherichia","coli","AMP","=","2","S","PNUSAE012706"
"7216","Escherichia","coli","AMP","<=","1","S","PNUSAE007590"
"7221","Escherichia","coli","AMP","=","2","S","PNUSAE013555"
"7222","Escherichia","coli","AMP","=","2","S","PNUSAE013782"
"7236","Escherichia","coli","AMP","=","2","S","PNUSAE011972"
"7248","Escherichia","coli","AMP","=","2","S","PNUSAE014765"
"7249","Escherichia","coli","AMP","=","2","S","PNUSAE014332"
"7256","Escherichia","coli","AMP","=","2","S","PNUSAE012674"
"7263","Escherichia","coli","AMP","=","2","S","PNUSAE016682"
"7264","Escherichia","coli","AMP","=","2","S","PNUSAE015780"
"7265","Escherichia","coli","AMP","=","4","S","PNUSAE014719"
"7274","Escherichia","coli","AMP","=","2","S","PNUSAE012709"
"7275","Escherichia","coli","AMP","=","4","S","PNUSAE013112"
"7279","Escherichia","coli","AMP","=","2","S","PNUSAE014274"
"7285","Escherichia","coli","AMP","=","2","S","PNUSAE013412"
"7286","Escherichia","coli","AMP","=","2","S","PNUSAE015212"
"7290","Escherichia","coli","AMP","=","2","S","PNUSAE013471"
"7310","Escherichia","coli","AMP","=","2","S","PNUSAE015078"
"7311","Escherichia","coli","AMP","=","2","S","PNUSAE014731"
"7312","Escherichia","coli","AMP","=","2","S","PNUSAE013622"
"7317","Escherichia","coli","AMP","=","2","S","PNUSAE016138"
"7325","Escherichia","coli","AMP","<=","1","S","PNUSAE015871"
"7326","Escherichia","coli","AMP","=","2","S","PNUSAE013586"
"7327","Escherichia","coli","AMP","=","2","S","PNUSAE014775"
"7333","Escherichia","coli","AMP","=","2","S","PNUSAE014048"
"7338","Escherichia","coli","AMP","=","2","S","PNUSAE013379"
"7342","Escherichia","coli","AMP","=","2","S","PNUSAE018078"
"7343","Escherichia","coli","AMP","=","2","S","PNUSAE012199"
"7344","Escherichia","coli","AMP","=","2","S","PNUSAE016602"
"7347","Escherichia","coli","AMP","=","2","S","PNUSAE014270"
"7348","Escherichia","coli","AMP","=","2","S","PNUSAE017308"
"7351","Escherichia","coli","AMP","=","2","S","SAMN10230730"
"7356","Escherichia","coli","AMP","=","2","S","PNUSAE013347"
"7357","Escherichia","coli","AMP",">","32","R","PNUSAE014369"
"7361","Escherichia","coli","AMP","=","2","S","PNUSAE015759"
"7372","Escherichia","coli","AMP","=","2","S","PNUSAE013827"
"7378","Escherichia","coli","AMP","=","4","S","PNUSAE017250"
"7381","Escherichia","coli","AMP","=","2","S","PNUSAE018320"
"7382","Escherichia","coli","AMP","=","2","S","PNUSAE018092"
"7392","Escherichia","coli","AMP","=","2","S","PNUSAE016066"
"7393","Escherichia","coli","AMP","=","2","S","PNUSAE018470"
"7397","Escherichia","coli","AMP","=","2","S","SAMN13283329"
